id,NTT-6N,NTC4,NTC5,NTC6,NTT4,NTT5,NTT6,MTT1,MTT2,MTT3,NTTR1,NTTR2,NTTR3,circ_ligase
MIR-202-3P-mmu,25370,12169,9071,10831,11313,11773,17407,9262,13223,14766,1550,15474,13475,14209.0
MIR-202-3P-rno,11199,5744,4302,4671,4057,4762,6886,3518,4918,5987,930,6800,6898,11184.0
MIR-202-5P,973,1988,1385,1399,1808,1661,1527,2090,2859,2753,15435,5149,4181,883.0
MIR-203,21767,11387,8758,11335,11791,12614,15672,8800,13006,15087,2178,6355,6228,9863.0
MIR-204,952,1214,870,883,1618,1568,1742,1214,1829,2041,3253,4930,8329,7855.0
MIR-205,14237,10244,8654,8249,16478,16569,18620,10473,14481,16548,4090,4467,4132,10285.0
MIR-206,225277,77750,62882,71405,106791,114772,161456,83101,106275,116241,13277,76122,35351,4759.0
MIR-207-mmu,11042,2066,1879,1689,8065,8913,8162,5588,7735,9422,9451,11693,14629,3634.0
MIR-207-rno,2499,1741,1488,1571,1664,1562,1691,2046,2722,2819,27302,12434,16337,2917.0
MIR-208A,1,9,13,2,1,1,4,1,1,1,31,24,4,287.0
MIR-208B,101,83,63,93,70,78,113,112,158,235,395,384,595,991.0
MIR-20A,1917,2449,1939,2616,2293,2063,2211,1397,2239,2156,411,562,796,4385.0
MIR-20A-star,2050,1378,969,1061,1433,1308,1758,822,1126,1567,332,782,1014,16851.0
MIR-20B,4052,4565,4112,5062,3399,3070,3906,2493,3812,4103,1282,1466,1908,7428.0
MIR-20B-star,8308,4580,4431,4189,7217,6357,6338,3824,6205,5970,2125,1694,1985,13452.0
MIR-21,33773,14150,10744,10804,15468,14303,20047,10468,12439,16440,1820,20073,11735,8063.0
MIR-210,11922,8493,7037,7901,6967,6576,8502,5156,7440,7620,2135,6640,6288,17494.0
MIR-211,1702,2781,2309,2094,4005,3946,4237,2753,3773,4053,7464,8960,11528,6234.0
MIR-211-hsa,1316,2581,1646,1825,3131,3409,3557,2255,3184,3233,8448,7265,11172,11003.0
MIR-212,1352,1018,822,969,1659,1596,2107,877,1264,1673,160,1014,1994,7727.0
MIR-214,14,14,15,23,1,1,7,1,34,31,39,42,75,6001.0
MIR-215,7589,1409,1039,1140,4975,5385,6085,3500,4445,5407,1144,4533,5458,13859.0
MIR-215-hsa,5990,1156,856,1196,4779,4359,5156,2861,4237,4857,1089,3991,5210,21528.0
MIR-216A,697,1034,817,923,890,1300,1175,466,1102,1047,347,521,693,915.0
MIR-216B,411,387,378,402,258,340,303,207,323,446,100,224,439,7878.0
MIR-217,3677,3481,3348,3743,4651,4747,5177,2939,4598,4546,671,3115,5747,17631.0
MIR-217-hsa,6027,7118,6677,8089,9681,9667,9235,5127,7841,7844,1424,4994,6082,38521.0
MIR-218,1720,645,460,391,586,610,772,733,1146,1321,3866,3425,2469,16514.0
MIR-219-5P,117,44,46,23,52,82,73,78,142,140,1045,434,294,534.0
MIR-22,222,109,83,92,126,205,129,133,194,320,194,519,660,21924.0
MIR-22-star,973,740,471,821,382,559,526,1052,1502,1702,2071,4945,1124,8344.0
MIR-220,172,218,241,218,130,145,166,256,256,338,2919,743,357,3776.0
MIR-220A,130,108,39,55,49,90,44,187,230,302,419,316,53,1063.0
MIR-220B,15,4,19,8,9,1,9,32,16,40,338,41,243,163.0
MIR-220C,62,10,41,26,18,64,40,82,117,108,8415,144,10583,5785.0
MIR-221,18966,4229,3280,3516,9533,9832,12420,7533,9636,11097,870,14873,409,2868.0
MIR-222,170,101,116,112,82,43,105,122,110,176,2863,556,13506,2217.0
MIR-223,35261,14674,11263,12259,18690,18466,23458,11369,14751,16959,12694,20473,5756,21820.0
MIR-224,719,910,637,704,701,809,822,1084,2159,1830,5847,3612,3883,20004.0
MIR-224-mmu,398,415,397,554,487,645,580,799,1153,1215,12358,2206,5028,15282.0
MIR-23A,3280,1274,979,1051,5005,4687,4980,3084,4242,4882,1518,2272,3873,5195.0
MIR-23B,1131,530,335,469,1674,1818,1777,787,1714,1801,423,946,1933,3326.0
MIR-24,65976,16963,13741,13849,16318,16083,24206,13847,17001,21798,6372,14556,6981,15061.0
MIR-24-1-star,3008,3450,2666,2714,3412,3476,3685,3409,4594,4514,6958,15530,11934,2681.0
MIR-25,11193,11656,9597,9697,13683,14400,15463,8186,10190,10013,3314,8331,9345,3572.0
MIR-26A,71,121,62,133,84,41,47,84,177,224,270,347,711,2662.0
MIR-26B,50,37,34,38,19,97,49,23,32,87,162,134,323,910.0
MIR-27A,1801,483,461,401,2247,2218,2399,1711,2304,2700,761,1694,3023,313.0
MIR-27B,4666,1510,1098,1375,7485,7874,8082,4807,6686,7693,2278,4947,7236,1893.0
MIR-28-3P,4321,898,687,903,1129,1064,1338,1098,1632,2755,800,3030,6339,5544.0
MIR-28-3P-mmu,7545,7346,6416,7205,8784,8732,8858,5139,7866,8202,3275,6138,8838,1148.0
MIR-28-5P,8848,2320,1769,2042,2902,2779,3181,2063,2769,4411,543,2644,3699,13782.0
MIR-290-3P-mmu,7269,1703,1533,1628,7007,7075,7365,4311,5655,6198,604,4024,4390,4157.0
MIR-290-3P-rno,1242,341,278,404,1310,1462,1578,903,1297,1272,181,847,912,3578.0
MIR-290-5P,60,70,82,96,31,44,64,85,165,135,1156,184,295,8422.0
MIR-290-5P-rno,119,170,110,188,94,108,128,270,425,419,4651,532,590,3512.0
MIR-291A-3P,3610,729,568,681,2924,3098,3100,1717,2667,2717,1678,2246,3719,799.0
MIR-291A-5P,142,270,213,262,48,79,109,61,72,111,118,95,364,401.0
MIR-291B-3P-mmu,203,154,168,167,212,249,229,241,368,335,1126,839,1742,1557.0
MIR-291B-3P-rno,411,417,319,395,416,555,463,446,726,689,1022,1591,2435,8979.0
MIR-291B-5P-mmu,3313,534,538,568,1212,1574,1945,1020,1346,1647,777,2345,1863,700.0
MIR-291B-5P-rno,1218,292,208,240,1397,1487,1837,932,1566,1522,873,991,1328,910.0
MIR-292-3P,788,619,517,571,671,672,679,586,895,850,909,2725,2462,5003.0
MIR-292-5P,4639,4437,3289,3377,5202,5281,4912,3012,4710,4222,1657,995,1031,3469.0
MIR-293-3P,6792,6628,4669,5174,6222,6321,7636,6903,8865,9348,11349,30628,19644,28135.0
MIR-293-3P-rno,2282,2247,1566,1984,2301,2146,2692,2211,2866,2823,4488,9297,5903,17304.0
MIR-294-3P-mmu,495,367,276,223,430,477,570,446,591,812,2702,2036,3894,6401.0
MIR-294-3P-rno,620,462,306,388,565,630,602,597,831,838,1381,1893,2996,3112.0
MIR-295-3P-mmu,519,584,375,468,721,632,666,760,1112,1246,2117,2115,2843,1293.0
MIR-295-3P-rno,220,215,227,196,300,282,225,203,234,343,677,878,1648,695.0
MIR-296-3P,17072,2590,2276,2481,9586,9393,11776,7078,8766,8696,3498,10554,6242,4671.0
MIR-296-5P,2621,1109,695,604,1323,1287,1789,1662,1772,2182,2363,5595,2145,11653.0
MIR-297,6225,6327,5947,7189,5970,6348,6226,4748,6606,7768,1049,1940,2153,1006.0
MIR-297A,357,479,326,533,361,444,466,494,717,918,1339,1395,1972,7454.0
MIR-297B,721,868,836,896,492,617,599,699,1054,1153,1547,2336,2908,3334.0
MIR-297C,1182,835,694,925,693,638,795,920,1085,1280,1766,2208,2669,3249.0
MIR-297C-rno,520,585,702,606,596,640,725,710,1055,1074,2014,2097,2631,2398.0
MIR-298,103955,20116,17637,16641,84175,81359,99811,48589,59353,59582,19474,74634,24455,4072.0
MIR-298-hsa,2144,1373,1166,1198,1185,1399,1879,1120,1302,1322,263,1286,961,8243.0
MIR-299-3P,179,146,120,151,102,128,141,136,212,241,673,576,694,918.0
MIR-299-3P-hsa,256,239,177,209,187,228,278,228,428,519,916,919,1140,1578.0
MIR-299-5P,1514,174,119,99,188,239,280,352,602,1270,2547,4871,3856,2201.0
MIR-29A,4106,1796,1357,1286,1469,1687,2375,1204,1584,2282,525,2648,1684,25674.0
MIR-29B,1513,1080,938,950,1051,839,1360,1528,1985,2179,4203,5017,3363,7229.0
MIR-29C,2100,1189,944,893,961,1161,1500,697,893,1209,507,1381,754,7105.0
MIR-29C-star,34529,4929,4496,4717,13888,14318,15782,10728,14415,15438,15962,28173,19223,15367.0
MIR-300-3P,2136,750,683,898,3154,2809,3301,1667,2700,2710,1082,1884,2269,1107.0
MIR-300-3P-hsa,1196,2332,1445,1815,2813,2525,2932,2331,3289,3617,3930,5550,5561,5620.0
MIR-301A,7454,2105,1530,2090,7831,8455,9552,5533,8406,10508,1542,6106,7919,2857.0
MIR-301B,12565,3783,3716,3829,16088,16823,18529,11409,16271,18424,2365,11636,13812,565.0
MIR-301B-hsa,6765,1601,1490,1868,6083,6627,7881,4587,7038,8666,1925,6352,7154,989.0
MIR-302A,6957,7432,6129,7716,7997,8287,8613,4861,6901,7546,2164,4877,7525,6450.0
MIR-302A-star,479,717,501,591,714,496,608,770,1255,1127,7170,2374,3045,4810.0
MIR-302B,18530,14205,11754,12483,17665,18557,18630,11272,14966,15995,1989,5328,6556,2476.0
MIR-302B-star-hsa,371,375,328,385,338,321,354,502,684,856,2057,1092,2609,729.0
MIR-302B-star-mmu,1438,1362,875,1074,1181,1458,1569,1427,1986,2084,3011,3779,5756,968.0
MIR-302C,10014,4096,3497,3656,10637,10391,10444,7138,9748,11852,741,1994,2406,782.0
MIR-302C-hsa,18377,15203,14297,15439,20371,21263,20791,13434,19998,20574,2536,5088,7987,2154.0
MIR-302C-rno,31747,30685,27189,31203,39439,40625,40201,26111,37060,39286,5569,8964,12682,5039.0
MIR-302C-star-hsa,5935,6865,5456,5785,9423,10538,10858,6508,9209,10356,1646,1816,2214,9602.0
MIR-302C-star-mmu,7894,12126,10090,9837,18513,20844,19538,12392,16827,16539,2902,2596,2881,13078.0
MIR-302D,1260,631,606,756,561,759,764,626,848,1371,915,2368,5841,7508.0
MIR-30A,21593,6512,5658,6008,6381,7176,9333,5489,8383,11320,1791,6156,5424,6550.0
MIR-30A-star,18242,4773,4093,4855,16734,18937,20854,12048,18008,20768,5478,19815,25753,9736.0
MIR-30B,608,111,127,121,185,131,287,204,243,351,909,1330,2215,772.0
MIR-30C,38177,3745,3312,3653,15599,14840,21567,10993,15163,21683,3998,29199,20114,1639.0
MIR-30D,29939,8152,6925,7826,8815,9375,12148,7299,10677,14699,2424,7960,7467,7144.0
MIR-30E,18536,6644,5401,7004,7639,7917,9504,5820,8384,10741,1883,5988,5321,6182.0
MIR-30E-star,14947,3608,3082,3553,10660,11673,12867,8011,11572,15814,3360,15852,18370,8170.0
MIR-31,18214,4324,3415,3425,8801,8760,12534,6684,9223,10298,3989,4718,2754,36398.0
MIR-31-2,998,4636,3627,3721,457,420,632,366,486,589,900,744,662,12505.0
MIR-32,840,1036,997,948,1544,1406,1604,956,1433,1619,134,802,1045,709.0
MIR-320A,1147,671,549,840,768,686,849,426,574,742,54,332,702,27226.0
MIR-322,3290,1468,860,1071,1508,1641,2183,1110,1256,1671,1223,2028,1858,226.0
MIR-322-hsa,4707,4382,3318,3314,4310,4473,4933,3055,3898,4717,1162,3045,3718,2405.0
MIR-322-star,156,154,103,121,171,140,214,96,134,188,38,39,159,33818.0
MIR-323-3P,352,297,246,240,299,360,324,304,499,685,1969,1479,2089,9139.0
MIR-323-5P,100721,14101,12158,12661,50118,50544,64009,38859,51118,55957,11896,64547,56697,4192.0
MIR-324-3P,90,43,31,54,38,52,23,45,34,73,399,120,400,6286.0
MIR-324-5P,347,141,70,95,136,166,122,71,142,133,1357,843,356,2297.0
MIR-325-3P,8997,10539,7735,8122,12421,11540,12309,6657,9684,10859,4891,7293,10480,774.0
MIR-325-3P-hsa,3684,4705,3559,4180,5348,5789,5787,3576,4827,5354,2371,3257,4071,441.0
MIR-325-5P,2437,2597,1984,2203,1752,1883,2305,2289,3110,3290,6450,10219,11289,5665.0
MIR-325-5P-hsa,270,185,129,148,210,274,251,207,283,239,1078,935,872,2586.0
MIR-326,1172,949,814,730,1589,1559,1676,1508,2123,2177,5628,6320,4810,25380.0
MIR-327-mmu,110,44,65,32,44,57,95,93,152,134,512,606,604,7160.0
MIR-327-rno,296,184,189,154,431,414,469,447,406,340,746,1579,1087,6097.0
MIR-328-3P,767,526,393,360,641,661,564,640,760,613,18102,1684,2064,11219.0
MIR-329,354,288,148,167,374,274,253,249,393,442,1631,775,753,1806.0
MIR-329-hsa,232,248,232,203,182,239,264,325,333,353,2065,807,783,4269.0
MIR-330-3P,8975,5508,5336,6614,3756,4294,5396,2889,4407,6158,1295,6856,8362,22700.0
MIR-330-3P-hsa,4680,3307,2715,3462,2542,2669,3828,1809,2841,3247,899,3745,4233,36849.0
MIR-330-5P,8792,3007,2359,1930,13517,14077,16391,9608,11424,13128,3498,7789,5619,1350.0
MIR-331-3P,7440,3088,2334,2286,3980,4047,5023,2434,3088,3025,2195,4264,2572,11812.0
MIR-331-5P,6599,2603,2351,2212,7103,6923,8406,5097,7449,7240,2826,5915,5458,30052.0
MIR-333,5529,6264,4333,4397,2174,2505,2835,4575,6045,6510,48715,18384,13876,1325.0
MIR-335,393,530,442,508,544,599,788,599,894,1054,569,2126,2244,2300.0
MIR-336,1614,2875,2527,1868,3750,3451,3872,3017,3750,4438,4864,9178,8381,4621.0
MIR-337-3P,386,623,521,475,964,963,898,734,1194,1332,1861,2384,3296,22116.0
MIR-337-3P-hsa,13258,3162,2104,2192,8502,9132,9896,5234,7204,8420,12885,10144,9744,5156.0
MIR-337-5P,1822,1091,847,961,559,741,824,1203,1746,1922,7499,8057,4304,40309.0
MIR-337-5P-hsa,272,80,125,148,93,124,129,376,439,566,1385,1338,641,5417.0
MIR-338-3P,38521,32736,32381,27897,63865,62280,67010,38467,48799,47485,9918,24465,16713,5890.0
MIR-338-3P-2,12999,36920,35507,30046,37127,36589,37827,23336,30669,29122,6246,6571,4897,2006.0
MIR-339-3P-hsa,25596,5599,4910,5264,8680,8841,12292,6792,9860,10532,1229,6462,4020,11635.0
MIR-339-3P-mmu,19059,4168,3472,3706,5538,5497,7658,3666,5157,5591,1432,3709,1869,2577.0
MIR-339-3P-rno,15848,8037,6973,7701,5392,5302,8162,3985,5026,6005,572,8126,4978,10534.0
MIR-339-5P,22023,16484,15441,13136,25343,24017,26810,14145,19640,20166,3136,6415,5268,18790.0
MIR-33A,2581,2877,2766,2936,3157,3258,3938,2345,3342,3392,622,2315,2139,859.0
MIR-33B,2630,601,559,551,2923,2771,2483,1920,2868,2503,1474,2935,2305,1279.0
MIR-340-3P,76290,19534,17652,15080,95441,92539,104631,59706,76468,84695,8859,55896,53883,16141.0
MIR-340-5P,28,54,51,20,51,67,40,121,113,138,1273,127,173,1178.0
MIR-341,1448,436,409,310,445,666,760,586,564,841,524,4666,1874,6769.0
MIR-342-3P,830,1004,690,706,1136,1175,1516,987,1549,1764,2449,4563,3388,9901.0
MIR-343-mmu,17239,9994,9353,7757,17906,17360,22251,10886,13728,16374,1740,13155,9962,26971.0
MIR-343-rno,36385,16643,14897,13578,34320,32548,40799,20818,26165,29527,5098,28637,14837,27432.0
MIR-344-3P-mmu,2080,787,463,733,444,621,839,796,1365,1426,6460,8674,9942,15346.0
MIR-344-3P-rno,2168,770,796,906,696,781,961,770,1128,1465,5569,10111,10701,10862.0
MIR-344-5P,15052,13000,12120,10969,21095,20651,20410,12125,15677,16766,2556,5964,4918,7225.0
MIR-344-5P-2,5985,3533,3162,2836,5534,5664,6165,3390,4190,5063,777,3572,3266,4690.0
MIR-345-5P,355,246,125,210,145,287,217,252,546,540,4513,1784,1624,4806.0
MIR-345-5P-hsa,2599,557,438,457,1276,1433,1648,1083,1575,1726,2204,2085,2031,10324.0
MIR-346-hsa,13300,10908,8682,8503,12709,12657,13849,15599,21160,21291,27369,63731,41458,12687.0
MIR-346-mmu,8278,6433,5327,5191,7302,7893,8130,8940,11955,11846,26382,38846,28020,10566.0
MIR-346-rno,4381,1281,1197,1200,1771,1875,2006,2442,3990,4792,9010,23712,24213,15104.0
MIR-347,16046,6707,4722,4906,10885,10807,12917,6387,8577,6994,4815,8981,3140,10911.0
MIR-349,6557,11024,8996,7104,13589,11364,12773,14898,18013,18396,15715,27138,14547,4636.0
MIR-34A,4713,2505,1703,2052,1997,2278,3195,3293,4004,4485,8397,18479,10585,17936.0
MIR-34B-5P,2589,1712,1340,1235,1581,1637,2045,2070,2210,2500,4426,8607,7426,5173.0
MIR-34B-5P-hsa,1766,1345,993,1046,1112,1174,1420,1459,2140,2164,4276,7457,6096,10781.0
MIR-34C-5P,47007,11563,8685,9468,35064,35378,45650,24924,32377,35486,6955,35376,25565,11043.0
MIR-350,1563,541,348,382,2026,1932,2276,1131,1648,1805,1165,1301,1609,922.0
MIR-350-hsa,8327,2481,2022,2189,8300,8776,9891,4964,7151,8501,2878,6653,6694,2181.0
MIR-351,22891,13787,12406,12183,31324,32297,35096,18033,23626,23339,5835,16330,15017,22655.0
MIR-351-mmu,2423,17161,15479,14257,4008,4299,4357,4526,6172,6162,9913,11428,11237,18376.0
MIR-352,23309,15678,8929,10223,11765,11876,15980,8090,9976,9941,3543,16594,11930,21625.0
MIR-361-5P,1667,636,472,664,1507,1549,2003,1243,1650,1887,1163,1557,3030,4126.0
MIR-362-3P,495,397,255,308,380,399,383,201,313,328,65,209,253,6478.0
MIR-362-3P-hsa,269,346,302,252,189,268,362,152,284,324,75,184,187,5771.0
MIR-362-5P,150,157,101,225,102,178,169,243,415,414,636,809,1554,4624.0
MIR-362-5P-hsa,346,564,335,505,363,459,496,587,991,694,732,1689,2629,11872.0
MIR-363,504,391,340,333,382,405,444,227,405,406,190,428,334,5435.0
MIR-363-star,12307,4381,2754,3098,2346,2700,3449,4851,6045,7292,37035,32763,15505,7710.0
MIR-365,406,598,397,439,555,541,688,430,859,824,1415,2268,1646,4261.0
MIR-367,836,614,516,741,642,588,640,300,547,388,494,420,440,1403.0
MIR-369-3P,84,101,51,94,106,98,80,145,183,149,1475,342,355,807.0
MIR-369-5P,122164,14396,11316,11532,56653,55261,71790,36683,48081,56090,13771,91177,54739,19830.0
MIR-370,1570,1425,1116,1162,1527,1771,2147,1890,2349,2594,3420,6793,5259,11648.0
MIR-371-3P,2523,2018,1492,1637,2345,2141,2529,2210,2858,2966,3997,6579,6045,6393.0
MIR-371-5P,70,61,73,41,28,81,36,73,125,145,239,195,387,11720.0
MIR-372,580,435,342,358,440,430,467,434,376,563,499,1845,1703,10827.0
MIR-373,1273,944,798,1193,737,606,1016,937,1136,1305,1483,5138,4122,8321.0
MIR-373-star,3837,548,462,461,1476,1491,1607,1265,1507,2050,751,1285,1816,508.0
MIR-374-star,323540,117181,90104,99603,135314,140181,169854,100266,121008,135003,806,86015,1015,23735.0
MIR-374A,3527,4103,2672,3395,5077,4995,5064,2676,3727,4285,736,1264,507,466.0
MIR-374B,1694,2306,1663,2074,2126,2112,2374,1242,1923,2130,23116,706,58493,6033.0
MIR-375,19117,20577,17685,17693,24569,27082,26860,16210,22046,21111,5373,13021,21326,14065.0
MIR-376A,99,69,49,97,97,90,107,76,163,145,287,673,612,11887.0
MIR-376A-hsa,83,147,98,126,98,134,83,79,222,195,365,578,885,30551.0
MIR-376A-star,54647,20224,16475,18805,25709,26377,31997,20551,28412,30541,9541,16296,11141,1558.0
MIR-376B,63,118,73,82,83,114,135,109,197,210,539,274,468,10112.0
MIR-376B-hsa,108,161,88,192,116,88,134,169,331,351,1296,794,1028,8390.0
MIR-376B-star,967,769,630,883,631,614,773,1384,1903,2270,10324,5082,3615,4423.0
MIR-376C,159,163,111,68,98,81,158,124,116,130,185,435,442,27826.0
MIR-376C-hsa,42,27,35,45,28,39,93,52,81,51,119,187,204,46368.0
MIR-377,125,1662,1476,1918,150,181,163,139,186,212,658,284,629,322.0
MIR-377-rno,3076,1912,1650,2290,4746,4951,5237,3248,5182,5683,983,1174,1283,1184.0
MIR-378,7426,1461,1271,1450,1748,1925,2289,1474,2101,4080,569,1762,2707,23446.0
MIR-378-star,698,365,302,292,260,537,482,408,524,772,4300,4097,5169,42575.0
MIR-379,132066,36371,29627,30728,53337,54830,81479,44744,60230,78061,3994,34800,17914,13258.0
MIR-380-3P,458,826,602,765,726,818,893,964,1334,1336,3973,2473,4175,1542.0
MIR-380-3P-hsa,559,770,518,560,499,743,897,726,877,1120,3203,2591,3158,649.0
MIR-380-5P,24862,12674,11230,11402,18517,17935,21260,11378,15906,19408,1449,4719,4585,5520.0
MIR-381,222,195,138,164,300,376,280,327,438,388,581,744,1209,1952.0
MIR-382,58605,38548,33706,40857,34317,36625,43238,28499,36587,35873,5331,16952,12410,6354.0
MIR-382-star,26,26,23,54,37,14,41,58,163,76,262,227,189,7270.0
MIR-383,3917,3023,2359,2646,2127,2226,3402,3297,4938,6001,4690,19116,19688,16904.0
MIR-383-hsa,3054,2838,2531,2619,2752,3251,4069,3585,4661,6161,5922,17792,16836,11758.0
MIR-384-3P,189,188,159,219,223,197,210,286,367,426,1888,1070,1256,3098.0
MIR-384-3P-hsa,306,385,359,369,311,307,349,417,550,492,2322,1655,1627,1543.0
MIR-384-5P,1465,805,591,767,655,762,1069,885,1189,1517,3094,6402,4585,1618.0
MIR-384-5P-hsa,524,698,326,462,553,438,600,500,860,1008,1838,2770,2800,360.0
MIR-409-3P,2699,1734,1486,1837,1403,1348,1914,1457,2054,2501,1617,12715,11384,21612.0
MIR-409-5P,1164,858,567,611,479,460,856,888,1359,1296,5631,4155,4471,7976.0
MIR-410,36,22,17,26,53,12,13,26,60,28,35,28,112,3287.0
MIR-411,24331,12854,10092,10046,17077,16929,24803,14017,18283,25112,820,6439,5459,4986.0
MIR-411-star,612,334,322,314,501,574,675,549,565,806,437,1332,1440,14715.0
MIR-411-star-rno,4318,1366,1215,1225,6040,6631,7092,3847,6076,8018,601,3412,6263,2655.0
MIR-412,3596,2779,2616,2791,5139,5731,5942,3524,5019,6314,752,1182,1554,9736.0
MIR-421-3P,2478,732,501,532,2457,2944,3786,2047,3013,3763,306,2113,2686,7905.0
MIR-421-5P,176422,66758,42849,45496,70487,71779,90406,46449,54490,62120,15539,39345,16591,13123.0
MIR-422A,4301,745,469,675,1834,2109,2609,1561,2189,2670,743,2673,2953,5246.0
MIR-423-3P,1271,451,374,356,362,312,477,569,603,725,972,5279,5183,10576.0
MIR-423-5P,12216,4303,3608,4598,5279,5141,6843,7798,10000,10598,47444,46481,21511,1153.0
MIR-425,1676,1013,888,1067,774,916,887,429,872,1066,296,791,1046,13608.0
MIR-425-star,3790,504,561,585,2153,2535,2862,1799,2721,2790,525,2555,2482,26620.0
MIR-429,101,283,145,191,252,254,312,225,295,341,633,725,1111,8097.0
MIR-429-hsa,132,218,90,169,233,197,203,164,195,315,506,573,778,6726.0
MIR-431,16482,7497,5868,7011,8941,9056,11100,6194,8007,9379,2725,10798,8426,4914.0
MIR-432,68982,68880,58753,65346,96007,104222,119148,76073,100728,103786,9875,24009,26326,1291.0
MIR-432-star,5849,5217,3470,3744,5023,5247,5945,6613,8405,9345,18668,24052,22123,10075.0
MIR-433-3P,284,227,211,209,130,184,208,388,521,574,922,1008,2663,8432.0
MIR-433-5P,12125,4408,3674,3637,13451,14052,14532,8053,10346,10915,6638,7876,8512,7253.0
MIR-434-3P,1498,1867,1324,1255,2270,2780,2529,1890,2375,2786,3150,6262,6902,2760.0
MIR-434-5P,9309,6881,6529,6777,7823,8223,9631,5859,8454,8871,1508,7528,7562,11514.0
MIR-448,1473,620,473,532,686,833,902,1235,1620,2163,2607,7184,5660,5292.0
MIR-449A,10860,4922,3790,4314,5887,6973,8821,7833,10352,11610,8718,49046,30037,8954.0
MIR-449B-hsa,29129,6087,4841,5572,23707,22732,28998,18416,24719,28841,3600,31030,30302,5451.0
MIR-449B-mmu,13643,2652,2242,2599,9767,10817,12557,7699,10335,11949,1729,10709,8085,3790.0
MIR-449B-rno,64019,13878,11861,12261,50885,52993,64543,40109,51365,56596,8907,49619,40075,3704.0
MIR-449C,43216,21544,18392,19607,27628,26917,32600,19445,26834,29384,6317,10521,6666,14896.0
MIR-450A-5P,1161,1715,1284,1178,1402,1404,1549,1766,2447,2659,6610,6378,13327,13273.0
MIR-450A-5P-rno,2282,3399,2727,2440,3342,3640,4013,3647,4495,4951,7869,12207,20147,19863.0
MIR-450B-3P,528,681,469,585,448,689,674,735,1000,1093,2876,2435,2985,2577.0
MIR-450B-5P-hsa,7614,13976,9834,9875,15289,13919,13598,7528,9392,9339,2588,7137,6958,1847.0
MIR-450B-5P-mmu,3511,5714,4434,4697,6522,6327,6269,3490,4881,4973,1984,3241,5489,1403.0
MIR-450B-5P-rno,1646,2821,2265,2423,3211,3615,3337,1911,2436,2634,1510,1586,2614,1183.0
MIR-451,135,87,51,95,92,62,102,156,314,220,964,532,587,18446.0
MIR-452,1477,1284,898,1090,1212,1174,1327,823,1023,918,269,967,1144,42528.0
MIR-452-star,12432,10017,8192,9060,10736,10842,13916,7720,10558,14010,2699,4347,3035,17562.0
MIR-452-star-hsa,7217,6782,5789,5752,8517,9107,10244,5781,8034,9561,1398,2552,2772,7029.0
MIR-453-hsa,145717,93103,73475,74005,122046,116559,142671,76108,91985,93670,10598,76554,51753,20545.0
MIR-453-mmu,29713,21120,17583,19745,21108,21491,27209,15163,20823,23279,3522,18376,16757,26633.0
MIR-453-rno,117560,93172,66624,68313,107432,101071,128573,65383,78688,75999,8295,62747,43778,15527.0
MIR-454_1,2029,1428,1175,1006,1815,1985,2388,2174,2358,3031,1461,9286,6294,1018.0
MIR-454-star,12497,2198,1644,1949,9794,9955,10687,5080,6940,7977,1586,5042,5623,30978.0
MIR-455-3P,9878,2049,1336,1446,6013,6456,8647,4203,5845,7280,3430,7706,5246,9277.0
MIR-455-3P-hsa,13370,2812,2216,2219,8444,9296,11753,6479,7735,10063,4409,11680,6640,16539.0
MIR-455-5P,11501,10133,9509,9962,15301,15217,15065,9633,13444,14148,1561,3211,3674,15389.0
MIR-463-mmu,18504,5193,4003,5017,5348,5432,8060,4143,5817,7427,769,4926,2003,2963.0
MIR-463-rno,25967,9298,7131,8274,8777,8903,11791,7096,9356,11127,1478,7435,3362,5006.0
MIR-463-star,13088,14409,10760,9790,19672,19529,20461,9764,12384,13312,1259,7753,7242,34098.0
MIR-464,1787,3018,2045,1997,2241,2287,2734,1523,1583,1903,518,1294,2005,1684.0
MIR-465-3P,14318,7671,6446,8336,6675,6538,7903,4235,6636,6511,2083,9640,7403,19874.0
MIR-465-5P,10886,19451,14727,17354,21189,21697,22483,12721,17276,17441,2739,9046,13239,2520.0
MIR-465A-5P,395,258,206,239,344,221,331,184,299,327,93,194,790,156.0
MIR-465ABC,36638,15560,12339,13363,18277,17432,21071,10867,14520,15428,3106,21746,12325,10628.0
MIR-465B-5P,10804,11831,8840,9727,19448,20105,18390,11296,16087,16601,3009,3884,5550,2776.0
MIR-465C-5P,11477,9881,7337,8202,15941,15590,15824,9164,13182,15763,1825,3548,5103,2135.0
MIR-465D,11071,15440,11382,11139,21874,21579,22534,12010,15920,16410,1335,3719,4392,5254.0
MIR-466A-5P,1020,1878,1529,1930,1279,1391,1360,924,1491,1404,393,811,1307,38.0
MIR-466ABCE-3P,1066,973,702,1148,844,1082,1351,643,996,1354,202,671,1175,1398.0
MIR-466B-5P,28380,8487,7493,9596,13313,14691,17669,12042,17388,17932,2312,9175,5782,1229.0
MIR-466B-5P-rno,16253,16091,14301,14993,20191,22251,22371,14353,20049,23583,2368,4736,6839,3412.0
MIR-466C-5P-mmu,10294,7789,6811,7519,3259,4055,4620,3496,5027,5168,1335,7642,4799,1816.0
MIR-466C-5P-rno,116010,68165,56802,56135,29706,29002,36211,37376,47835,56884,7320,27751,12008,763.0
MIR-466D-5P,34951,17302,14058,14864,18623,19860,22877,14247,17725,17324,2984,9321,4436,866.0
