index,seq_id,prep,samplename,seq_count
12575,MIR-135B,NTT (Corrected),NTT5 (Corrected),656.7166396659667
12576,MIR-135B,NTT (Corrected),NTT6 (Corrected),671.2353634449744
12577,MIR-135B,MTT (Corrected),MTT1 (Corrected),475.81178040248034
12578,MIR-135B,MTT (Corrected),MTT2 (Corrected),625.0406902057277
12579,MIR-135B,MTT (Corrected),MTT3 (Corrected),667.5842799985422
12580,MIR-135B,NTTR (Corrected),NTTR1 (Corrected),71.63227151207268
12581,MIR-135B,NTTR (Corrected),NTTR2 (Corrected),444.31991589194433
12582,MIR-135B,NTTR (Corrected),NTTR3 (Corrected),161.63376286468755
12583,MIR-135B,circ_ligase (Corrected),circ_ligase (Corrected),1063.6289210013724
12584,MIR-465-5P,NTC (Corrected),NTC4 (Corrected),1699.3546134635512
12585,MIR-465-5P,NTC (Corrected),NTC5 (Corrected),1286.6379822362724
12586,MIR-465-5P,NTC (Corrected),NTC6 (Corrected),1516.148268060587
12587,MIR-465-5P,NTT (Corrected),NTT4 (Corrected),1083.2297118077347
12588,MIR-465-5P,NTT (Corrected),NTT5 (Corrected),1109.1998233561017
12589,MIR-465-5P,NTT (Corrected),NTT6 (Corrected),1149.3819250825097
12590,MIR-465-5P,MTT (Corrected),MTT1 (Corrected),754.807539406404
12591,MIR-465-5P,MTT (Corrected),MTT2 (Corrected),1025.0809724695414
12592,MIR-465-5P,MTT (Corrected),MTT3 (Corrected),1034.871338321444
12593,MIR-465-5P,NTTR (Corrected),NTTR1 (Corrected),210.51587089223938
12594,MIR-465-5P,NTTR (Corrected),NTTR2 (Corrected),695.2634421654609
12595,MIR-465-5P,NTTR (Corrected),NTTR3 (Corrected),1017.5318053093677
12596,MIR-465-5P,circ_ligase (Corrected),circ_ligase (Corrected),454.9897947586927
12597,MIR-465A-5P,NTC (Corrected),NTC4 (Corrected),22.540408733411972
12598,MIR-465A-5P,NTC (Corrected),NTC5 (Corrected),17.997380616600257
12599,MIR-465A-5P,NTC (Corrected),NTC6 (Corrected),20.880456152269236
12600,MIR-465A-5P,NTT (Corrected),NTT4 (Corrected),17.586059788657366
12601,MIR-465A-5P,NTT (Corrected),NTT5 (Corrected),11.298020968875804
12602,MIR-465A-5P,NTT (Corrected),NTT6 (Corrected),16.92147031989996
